epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2158.81,2.58437,2.37044,1.37951,0.18858,0.24455,0.12208,0.03533,2.36785,9.71136,1.30833,0.00979705,0.00979705,0.00979705
43,2211.06,2.5939,2.38107,1.38301,0.18346,0.25096,0.12192,0.03538,2.37805,9.86389,1.27877,0.0097921,0.0097921,0.0097921
44,2263.32,2.59067,2.37474,1.3788,0.18072,0.24862,0.11605,0.03281,2.35553,9.28104,1.29146,0.00978715,0.00978715,0.00978715
45,2314.57,2.58595,2.3722,1.37338,0.18963,0.23198,0.12143,0.03471,2.36489,8.20741,1.28822,0.0097822,0.0097822,0.0097822
46,2366.36,2.58855,2.37466,1.37436,0.19319,0.24891,0.12501,0.03537,2.36881,10.4787,1.29923,0.00977725,0.00977725,0.00977725
47,2418.62,2.58069,2.36244,1.37403,0.1849,0.24993,0.11948,0.03489,2.36787,8.65233,1.30264,0.0097723,0.0097723,0.0097723
48,2470.43,2.58677,2.36981,1.37161,0.19363,0.25387,0.12961,0.03864,2.35448,8.10335,1.28808,0.00976735,0.00976735,0.00976735
49,2522.8,2.58823,2.35606,1.37081,0.20308,0.25081,0.13465,0.04026,2.34944,9.64838,1.28791,0.0097624,0.0097624,0.0097624
50,2575.37,2.57737,2.35243,1.3728,0.19262,0.25819,0.12687,0.03693,2.35826,9.50272,1.29734,0.00975745,0.00975745,0.00975745
51,2628.28,2.58368,2.35738,1.37581,0.20329,0.24709,0.12947,0.03726,2.35369,8.32192,1.28763,0.0097525,0.0097525,0.0097525
52,2681.01,2.57089,2.35012,1.36238,0.18947,0.25814,0.1249,0.03513,2.35609,9.0709,1.27638,0.00974755,0.00974755,0.00974755
53,2731.86,2.57329,2.34371,1.37043,0.18612,0.24744,0.11984,0.0336,2.3589,8.17094,1.29203,0.0097426,0.0097426,0.0097426
54,2783.51,2.576,2.36342,1.36479,0.20334,0.24181,0.12818,0.03734,2.35295,7.22219,1.28307,0.00973765,0.00973765,0.00973765
55,2834.71,2.57145,2.3376,1.36876,0.20228,0.27322,0.13943,0.03999,2.33374,10.0495,1.2772,0.0097327,0.0097327,0.0097327
56,2887.1,2.57469,2.34554,1.36326,0.20982,0.27124,0.14498,0.04135,2.34185,10.3733,1.28198,0.00972775,0.00972775,0.00972775
57,2938.22,2.57636,2.34564,1.35771,0.21551,0.25703,0.14121,0.04182,2.34234,7.95478,1.27938,0.0097228,0.0097228,0.0097228
58,2990.4,2.57026,2.31527,1.36099,0.21894,0.26141,0.14715,0.04233,2.34993,9.18279,1.27794,0.00971785,0.00971785,0.00971785
59,3041.22,2.56535,2.3219,1.36111,0.21316,0.26307,0.1434,0.0413,2.33367,8.06517,1.28597,0.0097129,0.0097129,0.0097129
60,3092.94,2.55391,2.31499,1.351,0.2106,0.27789,0.14888,0.04336,2.33244,9.28256,1.27677,0.00970795,0.00970795,0.00970795
